"Year: All values"
"Gender: All values"
"Academic Discipline, Broad (standardized): All values"
"Level of Degree or Other Award: All values"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)"
"1966","Female","Communication and Librarianship","First Professional Degrees","16"
"1966","Female","Communication and Librarianship","Master's Degrees","3,042"
"1966","Female","Communication and Librarianship","Bachelor's Degrees","1,792"
"1966","Female","Law","Doctorate Degrees","2"
"1966","Female","Law","First Professional Degrees","508"
"1966","Female","Law","Master's Degrees","37"
"1966","Female","Law","Bachelor's Degrees","10"
"1966","Female","Social Service Professions","Doctorate Degrees","30"
"1966","Female","Social Service Professions","Master's Degrees","2,324"
"1966","Female","Social Service Professions","Bachelor's Degrees","1,188"
"1966","Female","Vocational Studies and Home Economics","Doctorate Degrees","42"
"1966","Female","Vocational Studies and Home Economics","Master's Degrees","711"
"1966","Female","Vocational Studies and Home Economics","Bachelor's Degrees","5,579"
"1966","Female","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","36"
"1966","Female","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","1"
"1966","Female","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","16"
"1966","Female","Other Non-sciences or Unknown Disciplines","Master's Degrees","214"
"1966","Female","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","1,289"
"1966","Female","Other Non-sciences or Unknown Disciplines","Associate's Degrees","40,422"
"1966","Female","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","4,646"
"1966","Female","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","1,659"
"1966","Male","Engineering","Doctorate Degrees","2,325"
"1966","Male","Engineering","Master's Degrees","13,629"
"1966","Male","Engineering","Bachelor's Degrees","35,680"
"1966","Male","Physical Sciences","Doctorate Degrees","2,520"
"1966","Male","Physical Sciences","First Professional Degrees","1"
"1966","Male","Physical Sciences","Master's Degrees","3,723"
"1966","Male","Physical Sciences","Bachelor's Degrees","13,290"
"1966","Male","Geosciences","Doctorate Degrees","364"
"1966","Male","Geosciences","Master's Degrees","714"
"1966","Male","Geosciences","Bachelor's Degrees","1,551"
"1966","Male","Math and Computer Sciences","Doctorate Degrees","744"
"1966","Male","Math and Computer Sciences","First Professional Degrees","3"
"1966","Male","Math and Computer Sciences","Master's Degrees","3,992"
"1966","Male","Math and Computer Sciences","Bachelor's Degrees","13,477"
"1966","Male","Math and Computer Sciences","2 But Less Than 4 Year Certificates","375"
"1966","Male","Math and Computer Sciences","1 But Less Than 2 Year Certificates","23"
"1966","Male","Life Sciences","Doctorate Degrees","2,593"
"1966","Male","Life Sciences","First Professional Degrees","12,622"
"1966","Male","Life Sciences","Master's Degrees","6,261"
"1966","Male","Life Sciences","Bachelor's Degrees","29,048"
"1966","Male","Psychology","Doctorate Degrees","820"
"1966","Male","Psychology","Master's Degrees","1,625"
"1966","Male","Psychology","Bachelor's Degrees","10,038"
"1966","Male","Social Sciences","Doctorate Degrees","1,451"
"1966","Male","Social Sciences","Master's Degrees","7,251"
"1966","Male","Social Sciences","Bachelor's Degrees","42,304"
"1966","Male","Science and Engineering Technologies","Doctorate Degrees","11"
"1966","Male","Science and Engineering Technologies","Master's Degrees","47"
"1966","Male","Science and Engineering Technologies","Bachelor's Degrees","2,355"
"1966","Male","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","15,246"
"1966","Male","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","2,948"
"1966","Male","Interdisciplinary or Other Sciences","Doctorate Degrees","10"
"1966","Male","Interdisciplinary or Other Sciences","Master's Degrees","646"
"1966","Male","Interdisciplinary or Other Sciences","Bachelor's Degrees","5,967"
"1966","Male","Interdisciplinary or Other Sciences","Associate's Degrees","11,504"
"1966","Male","Humanities","Doctorate Degrees","1,659"
"1966","Male","Humanities","First Professional Degrees","40"
"1966","Male","Humanities","Master's Degrees","7,778"
"1966","Male","Humanities","Bachelor's Degrees","41,653"
"1966","Male","Humanities","2 But Less Than 4 Year Certificates","418"
"1966","Male","Humanities","1 But Less Than 2 Year Certificates","11"
"1966","Male","Religion and Theology","Doctorate Degrees","171"
"1966","Male","Religion and Theology","First Professional Degrees","4,050"
"1966","Male","Religion and Theology","Master's Degrees","965"
"1966","Male","Religion and Theology","Bachelor's Degrees","440"
"1966","Male","Arts and Music","Doctorate Degrees","396"
"1966","Male","Arts and Music","First Professional Degrees","23"
"1966","Male","Arts and Music","Master's Degrees","2,760"
"1966","Male","Arts and Music","Bachelor's Degrees","7,908"
"1966","Male","Arts and Music","2 But Less Than 4 Year Certificates","1,515"
"1966","Male","Arts and Music","1 But Less Than 2 Year Certificates","76"
"1966","Male","Architecture and Environmental Design","Doctorate Degrees","11"
"1966","Male","Architecture and Environmental Design","First Professional Degrees","190"
"1966","Male","Architecture and Environmental Design","Master's Degrees","661"
"1966","Male","Architecture and Environmental Design","Bachelor's Degrees","2,376"
"1966","Male","Education","Doctorate Degrees","2,499"
"1966","Male","Education","First Professional Degrees","201"
"1966","Male","Education","Master's Degrees","26,113"
"1966","Male","Education","Bachelor's Degrees","30,292"
"1966","Male","Education","2 But Less Than 4 Year Certificates","1,521"
"1966","Male","Education","1 But Less Than 2 Year Certificates","2"
"1966","Male","Business and Management","Doctorate Degrees","390"
"1966","Male","Business and Management","Master's Degrees","12,859"
"1966","Male","Business and Management","Bachelor's Degrees","59,757"
"1966","Male","Business and Management","2 But Less Than 4 Year Certificates","12,840"
"1966","Male","Business and Management","1 But Less Than 2 Year Certificates","1,154"
"1966","Male","Communication and Librarianship","Doctorate Degrees","26"
"1966","Male","Communication and Librarianship","First Professional Degrees","7"
"1966","Male","Communication and Librarianship","Master's Degrees","1,397"
"1966","Male","Communication and Librarianship","Bachelor's Degrees","1,954"
"1966","Male","Law","Doctorate Degrees","27"
"1966","Male","Law","First Professional Degrees","12,934"
"1966","Male","Law","Master's Degrees","743"
"1966","Male","Law","Bachelor's Degrees","235"
"1966","Male","Social Service Professions","Doctorate Degrees","34"
"1966","Male","Social Service Professions","Master's Degrees","1,588"
"1966","Male","Social Service Professions","Bachelor's Degrees","476"
"1966","Male","Vocational Studies and Home Economics","Doctorate Degrees","12"
"1966","Male","Vocational Studies and Home Economics","Master's Degrees","29"
"1966","Male","Vocational Studies and Home Economics","Bachelor's Degrees","145"
"1966","Male","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","749"
"1966","Male","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","138"
"1966","Male","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","58"
"1966","Male","Other Non-sciences or Unknown Disciplines","Master's Degrees","403"
"1966","Male","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","2,091"
"1966","Male","Other Non-sciences or Unknown Disciplines","Associate's Degrees","52,357"
"1966","Male","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","5,758"
"1966","Male","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","1,124"
"1967","Female","Engineering","Doctorate Degrees","11"
"1967","Female","Engineering","Master's Degrees","78"
"1967","Female","Engineering","Bachelor's Degrees","184"
"1967","Female","Physical Sciences","Doctorate Degrees","155"
"1967","Female","Physical Sciences","Master's Degrees","498"
"1967","Female","Physical Sciences","Bachelor's Degrees","2,205"
"1967","Female","Geosciences","Doctorate Degrees","7"
"1967","Female","Geosciences","Master's Degrees","55"
"1967","Female","Geosciences","Bachelor's Degrees","197"
"1967","Female","Math and Computer Sciences","Doctorate Degrees","60"
"1967","Female","Math and Computer Sciences","Master's Degrees","1,310"
"1967","Female","Math and Computer Sciences","Bachelor's Degrees","7,334"
"1967","Female","Math and Computer Sciences","2 But Less Than 4 Year Certificates","289"
"1967","Female","Math and Computer Sciences","1 But Less Than 2 Year Certificates","32"
"1967","Female","Life Sciences","Doctorate Degrees","372"
"1967","Female","Life Sciences","First Professional Degrees","734"
"1967","Female","Life Sciences","Master's Degrees","3,001"
"1967","Female","Life Sciences","Bachelor's Degrees","20,318"
"1967","Female","Life Sciences","2 But Less Than 4 Year Certificates","4,496"
"1967","Female","Life Sciences","1 But Less Than 2 Year Certificates","263"
"1967","Female","Psychology","Doctorate Degrees","221"
"1967","Female","Psychology","Master's Degrees","927"
"1967","Female","Psychology","Bachelor's Degrees","7,778"
"1967","Female","Social Sciences","Doctorate Degrees","215"
"1967","Female","Social Sciences","Master's Degrees","2,085"
"1967","Female","Social Sciences","Bachelor's Degrees","25,141"
"1967","Female","Science and Engineering Technologies","Master's Degrees","17"
"1967","Female","Science and Engineering Technologies","Bachelor's Degrees","351"
"1967","Female","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","4,910"
"1967","Female","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","4,438"
"1967","Female","Interdisciplinary or Other Sciences","Master's Degrees","186"
"1967","Female","Interdisciplinary or Other Sciences","Bachelor's Degrees","1,581"
"1967","Female","Interdisciplinary or Other Sciences","Associate's Degrees","10,460"
"1967","Female","Humanities","Doctorate Degrees","465"
"1967","Female","Humanities","Master's Degrees","7,751"
"1967","Female","Humanities","Bachelor's Degrees","52,273"
"1967","Female","Humanities","2 But Less Than 4 Year Certificates","275"
"1967","Female","Humanities","1 But Less Than 2 Year Certificates","51"
"1967","Female","Religion and Theology","Doctorate Degrees","12"
"1967","Female","Religion and Theology","First Professional Degrees","71"
"1967","Female","Religion and Theology","Master's Degrees","164"
"1967","Female","Religion and Theology","Bachelor's Degrees","35"
"1967","Female","Arts and Music","Doctorate Degrees","93"
"1967","Female","Arts and Music","First Professional Degrees","9"
"1967","Female","Arts and Music","Master's Degrees","2,476"
"1967","Female","Arts and Music","Bachelor's Degrees","12,569"
"1967","Female","Arts and Music","2 But Less Than 4 Year Certificates","2,010"
"1967","Female","Arts and Music","1 But Less Than 2 Year Certificates","70"
"1967","Female","Architecture and Environmental Design","Doctorate Degrees","3"
"1967","Female","Architecture and Environmental Design","First Professional Degrees","6"
"1967","Female","Architecture and Environmental Design","Master's Degrees","39"
"1967","Female","Architecture and Environmental Design","Bachelor's Degrees","117"
"1967","Female","Education","Doctorate Degrees","738"
"1967","Female","Education","First Professional Degrees","39"
"1967","Female","Education","Master's Degrees","28,307"
"1967","Female","Education","Bachelor's Degrees","91,124"
"1967","Female","Education","2 But Less Than 4 Year Certificates","4,688"
"1967","Female","Education","1 But Less Than 2 Year Certificates","212"
"1967","Female","Business and Management","Doctorate Degrees","18"
"1967","Female","Business and Management","Master's Degrees","414"
"1967","Female","Business and Management","Bachelor's Degrees","6,074"
"1967","Female","Business and Management","2 But Less Than 4 Year Certificates","14,322"
"1967","Female","Business and Management","1 But Less Than 2 Year Certificates","4,065"
"1967","Female","Communication and Librarianship","Doctorate Degrees","10"
"1967","Female","Communication and Librarianship","Master's Degrees","3,728"
"1967","Female","Communication and Librarianship","Bachelor's Degrees","2,023"
"1967","Female","Law","Doctorate Degrees","2"
"1967","Female","Law","First Professional Degrees","570"
"1967","Female","Law","Master's Degrees","35"
"1967","Female","Law","Bachelor's Degrees","42"
"1967","Female","Social Service Professions","Doctorate Degrees","20"
"1967","Female","Social Service Professions","Master's Degrees","2,533"
"1967","Female","Social Service Professions","Bachelor's Degrees","1,462"
"1967","Female","Vocational Studies and Home Economics","Doctorate Degrees","43"
"1967","Female","Vocational Studies and Home Economics","Master's Degrees","804"
"1967","Female","Vocational Studies and Home Economics","Bachelor's Degrees","6,166"
"1967","Female","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","695"
"1967","Female","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","82"
"1967","Female","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","12"
"1967","Female","Other Non-sciences or Unknown Disciplines","Master's Degrees","305"
"1967","Female","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","1,159"
"1967","Female","Other Non-sciences or Unknown Disciplines","Associate's Degrees","50,766"
"1967","Female","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","7,179"
"1967","Female","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","1,557"
"1967","Male","Engineering","Doctorate Degrees","2,650"
"1967","Male","Engineering","First Professional Degrees","2"
"1967","Male","Engineering","Master's Degrees","13,843"
"1967","Male","Engineering","Bachelor's Degrees","36,013"
"1967","Male","Physical Sciences","Doctorate Degrees","2,882"
"1967","Male","Physical Sciences","Master's Degrees","3,907"
"1967","Male","Physical Sciences","Bachelor's Degrees","13,642"
"1967","Male","Geosciences","Doctorate Degrees","371"
"1967","Male","Geosciences","Master's Degrees","916"
"1967","Male","Geosciences","Bachelor's Degrees","1,739"
"1967","Male","Math and Computer Sciences","Doctorate Degrees","810"
"1967","Male","Math and Computer Sciences","Master's Degrees","4,423"
"1967","Male","Math and Computer Sciences","Bachelor's Degrees","14,196"
"1967","Male","Math and Computer Sciences","2 But Less Than 4 Year Certificates","662"
"1967","Male","Math and Computer Sciences","1 But Less Than 2 Year Certificates","26"
"1967","Male","Life Sciences","Doctorate Degrees","2,768"
"1967","Male","Life Sciences","First Professional Degrees","12,663"
"1967","Male","Life Sciences","Master's Degrees","7,148"
"1967","Male","Life Sciences","Bachelor's Degrees","31,439"
"1967","Male","Life Sciences","2 But Less Than 4 Year Certificates","165"
"1967","Male","Life Sciences","1 But Less Than 2 Year Certificates","2"
"1967","Male","Psychology","Doctorate Degrees","969"
"1967","Male","Psychology","Master's Degrees","1,971"
"1967","Male","Psychology","Bachelor's Degrees","11,657"
"1967","Male","Social Sciences","Doctorate Degrees","1,705"
"1967","Male","Social Sciences","First Professional Degrees","15"
"1967","Male","Social Sciences","Master's Degrees","8,263"
"1967","Male","Social Sciences","Bachelor's Degrees","47,257"
"1967","Male","Science and Engineering Technologies","Doctorate Degrees","5"
"1967","Male","Science and Engineering Technologies","Master's Degrees","123"
"1967","Male","Science and Engineering Technologies","Bachelor's Degrees","2,719"
"1967","Male","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","20,161"
"1967","Male","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","3,736"
"1967","Male","Interdisciplinary or Other Sciences","Doctorate Degrees","13"
"1967","Male","Interdisciplinary or Other Sciences","Master's Degrees","587"
"1967","Male","Interdisciplinary or Other Sciences","Bachelor's Degrees","5,984"
"1967","Male","Interdisciplinary or Other Sciences","Associate's Degrees","15,472"
"1967","Male","Humanities","Doctorate Degrees","1,915"
"1967","Male","Humanities","First Professional Degrees","51"
"1967","Male","Humanities","Master's Degrees","9,072"
"1967","Male","Humanities","Bachelor's Degrees","45,521"
"1967","Male","Humanities","2 But Less Than 4 Year Certificates","306"
"1967","Male","Humanities","1 But Less Than 2 Year Certificates","2"
"1967","Male","Religion and Theology","Doctorate Degrees","141"
"1967","Male","Religion and Theology","First Professional Degrees","3,894"
"1967","Male","Religion and Theology","Master's Degrees","1,181"
"1967","Male","Religion and Theology","Bachelor's Degrees","326"
"1967","Male","Arts and Music","Doctorate Degrees","411"
"1967","Male","Arts and Music","First Professional Degrees","7"
"1967","Male","Arts and Music","Master's Degrees","3,336"
"1967","Male","Arts and Music","Bachelor's Degrees","8,984"
"1967","Male","Arts and Music","2 But Less Than 4 Year Certificates","1,922"
"1967","Male","Arts and Music","1 But Less Than 2 Year Certificates","150"
"1967","Male","Architecture and Environmental Design","Doctorate Degrees","15"
"1967","Male","Architecture and Environmental Design","First Professional Degrees","127"
"1967","Male","Architecture and Environmental Design","Master's Degrees","773"
"1967","Male","Architecture and Environmental Design","Bachelor's Degrees","2,687"
"1967","Male","Education","Doctorate Degrees","2,873"
"1967","Male","Education","First Professional Degrees","29"
"1967","Male","Education","Master's Degrees","28,312"
"1967","Male","Education","Bachelor's Degrees","31,262"
"1967","Male","Education","2 But Less Than 4 Year Certificates","2,699"
"1967","Male","Education","1 But Less Than 2 Year Certificates","124"
"1967","Male","Business and Management","Doctorate Degrees","439"
"1967","Male","Business and Management","Master's Degrees","14,733"
"1967","Male","Business and Management","Bachelor's Degrees","65,444"
"1967","Male","Business and Management","2 But Less Than 4 Year Certificates","13,207"
"1967","Male","Business and Management","1 But Less Than 2 Year Certificates","1,161"
"1967","Male","Communication and Librarianship","Doctorate Degrees","29"
"1967","Male","Communication and Librarianship","Master's Degrees","1,410"
"1967","Male","Communication and Librarianship","Bachelor's Degrees","2,197"
"1967","Male","Law","Doctorate Degrees","25"
"1967","Male","Law","First Professional Degrees","14,276"
"1967","Male","Law","Master's Degrees","783"
"1967","Male","Law","Bachelor's Degrees","451"
"1967","Male","Social Service Professions","Doctorate Degrees","44"
"1967","Male","Social Service Professions","Master's Degrees","1,687"
"1967","Male","Social Service Professions","Bachelor's Degrees","419"
"1967","Male","Vocational Studies and Home Economics","Doctorate Degrees","23"
"1967","Male","Vocational Studies and Home Economics","Master's Degrees","46"
"1967","Male","Vocational Studies and Home Economics","Bachelor's Degrees","169"
"1967","Male","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","1,096"
"1967","Male","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","325"
"1967","Male","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","76"
"1967","Male","Other Non-sciences or Unknown Disciplines","Master's Degrees","665"
"1967","Male","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","2,130"
"1967","Male","Other Non-sciences or Unknown Disciplines","Associate's Degrees","63,033"
"1967","Male","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","10,404"
"1967","Male","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","2,360"
"1968","Female","Engineering","Doctorate Degrees","12"
"1968","Female","Engineering","Master's Degrees","99"
"1968","Female","Engineering","Bachelor's Degrees","216"
"1968","Female","Physical Sciences","Doctorate Degrees","179"
"1968","Female","Physical Sciences","Master's Degrees","564"
"1968","Female","Physical Sciences","Bachelor's Degrees","2,435"
"1968","Female","Geosciences","Doctorate Degrees","9"
"1968","Female","Geosciences","Master's Degrees","71"
"1968","Female","Geosciences","Bachelor's Degrees","234"
"1968","Female","Math and Computer Sciences","Doctorate Degrees","52"
"1968","Female","Math and Computer Sciences","Master's Degrees","1,361"
"1968","Female","Math and Computer Sciences","Bachelor's Degrees","8,841"
"1968","Female","Math and Computer Sciences","2 But Less Than 4 Year Certificates","122"
"1968","Female","Math and Computer Sciences","1 But Less Than 2 Year Certificates","9"
"1968","Female","Life Sciences","Doctorate Degrees","482"
"1968","Female","Life Sciences","First Professional Degrees","841"
"1968","Female","Life Sciences","Master's Degrees","3,501"
"1968","Female","Life Sciences","Bachelor's Degrees","22,604"
"1968","Female","Life Sciences","2 But Less Than 4 Year Certificates","6,417"
"1968","Female","Life Sciences","1 But Less Than 2 Year Certificates","302"
"1968","Female","Psychology","Doctorate Degrees","276"
"1968","Female","Psychology","Master's Degrees","1,011"
"1968","Female","Psychology","Bachelor's Degrees","10,130"
"1968","Female","Social Sciences","Doctorate Degrees","259"
"1968","Female","Social Sciences","Master's Degrees","2,472"
"1968","Female","Social Sciences","Bachelor's Degrees","30,575"
"1968","Female","Science and Engineering Technologies","Master's Degrees","13"
"1968","Female","Science and Engineering Technologies","Bachelor's Degrees","423"
"1968","Female","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","4,348"
"1968","Female","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","5,184"
"1968","Female","Interdisciplinary or Other Sciences","Doctorate Degrees","3"
"1968","Female","Interdisciplinary or Other Sciences","Master's Degrees","257"
"1968","Female","Interdisciplinary or Other Sciences","Bachelor's Degrees","1,771"
"1968","Female","Interdisciplinary or Other Sciences","Associate's Degrees","12,067"
"1968","Female","Humanities","Doctorate Degrees","572"
"1968","Female","Humanities","Master's Degrees","8,680"
"1968","Female","Humanities","Bachelor's Degrees","60,555"
"1968","Female","Humanities","2 But Less Than 4 Year Certificates","388"
"1968","Female","Humanities","1 But Less Than 2 Year Certificates","10"
"1968","Female","Religion and Theology","Doctorate Degrees","8"
"1968","Female","Religion and Theology","First Professional Degrees","105"
"1968","Female","Religion and Theology","Master's Degrees","156"
"1968","Female","Religion and Theology","Bachelor's Degrees","81"
"1968","Female","Arts and Music","Doctorate Degrees","100"
"1968","Female","Arts and Music","Master's Degrees","2,859"
"1968","Female","Arts and Music","Bachelor's Degrees","15,152"
"1968","Female","Arts and Music","2 But Less Than 4 Year Certificates","1,609"
"1968","Female","Arts and Music","1 But Less Than 2 Year Certificates","50"
"1968","Female","Architecture and Environmental Design","First Professional Degrees","14"
"1968","Female","Architecture and Environmental Design","Master's Degrees","73"
"1968","Female","Architecture and Environmental Design","Bachelor's Degrees","126"
"1968","Female","Education","Doctorate Degrees","843"
"1968","Female","Education","Master's Degrees","33,230"
"1968","Female","Education","Bachelor's Degrees","103,678"
"1968","Female","Education","2 But Less Than 4 Year Certificates","1,450"
"1968","Female","Education","1 But Less Than 2 Year Certificates","99"
"1968","Female","Business and Management","Doctorate Degrees","14"
"1968","Female","Business and Management","Master's Degrees","618"
"1968","Female","Business and Management","Bachelor's Degrees","7,337"
"1968","Female","Business and Management","2 But Less Than 4 Year Certificates","15,634"
"1968","Female","Business and Management","1 But Less Than 2 Year Certificates","4,270"
"1968","Female","Communication and Librarianship","Doctorate Degrees","12"
"1968","Female","Communication and Librarianship","Master's Degrees","4,306"
"1968","Female","Communication and Librarianship","Bachelor's Degrees","2,510"
"1968","Female","Communication and Librarianship","2 But Less Than 4 Year Certificates","80"
"1968","Female","Communication and Librarianship","1 But Less Than 2 Year Certificates","17"
"1968","Female","Law","Doctorate Degrees","2"
"1968","Female","Law","First Professional Degrees","684"
"1968","Female","Law","Master's Degrees","28"
"1968","Female","Law","Bachelor's Degrees","28"
"1968","Female","Social Service Professions","Doctorate Degrees","17"
"1968","Female","Social Service Professions","Master's Degrees","2,825"
"1968","Female","Social Service Professions","Bachelor's Degrees","1,938"
"1968","Female","Vocational Studies and Home Economics","Doctorate Degrees","51"
"1968","Female","Vocational Studies and Home Economics","Master's Degrees","915"
"1968","Female","Vocational Studies and Home Economics","Bachelor's Degrees","7,222"
"1968","Female","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","742"
"1968","Female","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","27"
"1968","Female","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","15"
"1968","Female","Other Non-sciences or Unknown Disciplines","First Professional Degrees","1"
"1968","Female","Other Non-sciences or Unknown Disciplines","Master's Degrees","362"
"1968","Female","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","1,260"
"1968","Female","Other Non-sciences or Unknown Disciplines","Associate's Degrees","57,504"
"1968","Female","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","2,101"
"1968","Female","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","2,694"
"1968","Male","Engineering","Doctorate Degrees","2,940"
"1968","Male","Engineering","Master's Degrees","15,133"
"1968","Male","Engineering","Bachelor's Degrees","37,464"
"1968","Male","Physical Sciences","Doctorate Degrees","2,993"
"1968","Male","Physical Sciences","Master's Degrees","3,892"
"1968","Male","Physical Sciences","Bachelor's Degrees","14,602"
"1968","Male","Geosciences","Doctorate Degrees","392"
"1968","Male","Geosciences","Master's Degrees","937"
"1968","Male","Geosciences","Bachelor's Degrees","2,105"
"1968","Male","Math and Computer Sciences","Doctorate Degrees","931"
"1968","Male","Math and Computer Sciences","Master's Degrees","4,720"
"1968","Male","Math and Computer Sciences","Bachelor's Degrees","15,243"
"1968","Male","Math and Computer Sciences","2 But Less Than 4 Year Certificates","358"
"1968","Male","Math and Computer Sciences","1 But Less Than 2 Year Certificates","14"
"1968","Male","Life Sciences","Doctorate Degrees","3,194"
"1968","Male","Life Sciences","First Professional Degrees","12,974"
"1968","Male","Life Sciences","Master's Degrees","7,557"
