"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"1966","Doctoral I","Chemical Engineering","Male","161","."
"1966","Doctoral I","Civil Engineering","Female","1","."
"1966","Doctoral I","Civil Engineering","Male","422","."
"1966","Doctoral I","Electrical Engineering","Female","2","."
"1966","Doctoral I","Electrical Engineering","Male","966","."
"1966","Doctoral I","Mechanical Engineering","Male","645","."
"1966","Doctoral I","Materials Engineering","Male","103","."
"1966","Doctoral I","Industrial Engineering","Male","138","."
"1966","Doctoral I","Other Engineering","Female","2","."
"1966","Doctoral I","Other Engineering","Male","109","."
"1966","Doctoral I","Chemistry","Female","105","."
"1966","Doctoral I","Chemistry","Male","552","."
"1966","Doctoral I","Physics","Female","16","."
"1966","Doctoral I","Physics","Male","359","."
"1966","Doctoral I","Other Physical Sciences","Female","10","."
"1966","Doctoral I","Other Physical Sciences","Male","36","."
"1966","Doctoral I","Earth Sciences","Female","22","."
"1966","Doctoral I","Earth Sciences","Male","131","."
"1966","Doctoral I","Mathematics and Statistics","Female","531","."
"1966","Doctoral I","Mathematics and Statistics","Male","1,099","."
"1966","Doctoral I","Computer Science","Female","8","."
"1966","Doctoral I","Computer Science","Male","23","."
"1966","Doctoral I","Agricultural Sciences","Female","2","."
"1966","Doctoral I","Agricultural Sciences","Male","49","."
"1966","Doctoral I","Biological Sciences","Female","487","."
"1966","Doctoral I","Biological Sciences","Male","1,162","."
"1966","Doctoral I","Medical Sciences","Female","20","."
"1966","Doctoral I","Medical Sciences","Male","135","."
"1966","Doctoral I","Other Life Sciences","Female","862","."
"1966","Doctoral I","Other Life Sciences","Male","187","."
"1966","Doctoral I","Psychology","Female","462","."
"1966","Doctoral I","Psychology","Male","740","."
"1966","Doctoral I","Economics","Female","70","."
"1966","Doctoral I","Economics","Male","674","."
"1966","Doctoral I","Political Science and Public Administration","Female","229","."
"1966","Doctoral I","Political Science and Public Administration","Male","982","."
"1966","Doctoral I","Sociology","Female","566","."
"1966","Doctoral I","Sociology","Male","334","."
"1966","Doctoral I","Anthropology","Female","29","."
"1966","Doctoral I","Anthropology","Male","44","."
"1966","Doctoral I","Linguistics","Female","2","."
"1966","Doctoral I","Linguistics","Male","2","."
"1966","Doctoral I","Area and Ethnic Studies","Female","17","."
"1966","Doctoral I","Area and Ethnic Studies","Male","34","."
"1966","Doctoral I","Other Social Sciences","Female","588","."
"1966","Doctoral I","Other Social Sciences","Male","903","."
"1966","Doctoral I","Engineering Technologies","Female","1","."
"1966","Doctoral I","Engineering Technologies","Male","259","."
"1966","Doctoral I","Health Technologies","Female","21","."
"1966","Doctoral I","Interdisciplinary or Other Sciences","Female","93","."
"1966","Doctoral I","Interdisciplinary or Other Sciences","Male","78","."
"1966","Doctoral I","History","Female","673","."
"1966","Doctoral I","History","Male","1,334","."
"1966","Doctoral I","English and Literature","Female","2,077","."
"1966","Doctoral I","English and Literature","Male","1,045","."
"1966","Doctoral I","Foreign Languages","Female","722","."
"1966","Doctoral I","Foreign Languages","Male","328","."
"1966","Doctoral I","Other Humanities","Female","51","."
"1966","Doctoral I","Other Humanities","Male","332","."
"1966","Doctoral I","Religion and Theology","Female","5","."
"1966","Doctoral I","Religion and Theology","Male","28","."
"1966","Doctoral I","Arts and Music","Female","668","."
"1966","Doctoral I","Arts and Music","Male","434","."
"1966","Doctoral I","Architecture and Environmental Design","Female","2","."
"1966","Doctoral I","Architecture and Environmental Design","Male","52","."
"1966","Doctoral I","Other Science/Technical Education","Female","4","."
"1966","Doctoral I","Other Science/Technical Education","Male","452","."
"1966","Doctoral I","Non-Science Education","Female","8,268","."
"1966","Doctoral I","Non-Science Education","Male","1,740","."
"1966","Doctoral I","Business and Management","Female","474","."
"1966","Doctoral I","Business and Management","Male","5,722","."
"1966","Doctoral I","Communication and Librarianship","Female","201","."
"1966","Doctoral I","Communication and Librarianship","Male","143","."
"1966","Doctoral I","Law","Female","1","."
"1966","Doctoral I","Law","Male","1","."
"1966","Doctoral I","Social Service Professions","Female","17","."
"1966","Doctoral I","Social Service Professions","Male","9","."
"1966","Doctoral I","Vocational Studies and Home Economics","Female","304","."
"1966","Doctoral I","Vocational Studies and Home Economics","Male","6","."
"1966","Doctoral I","Other Non-sciences or Unknown Disciplines","Female","15","."
"1966","Doctoral I","Other Non-sciences or Unknown Disciplines","Male","66","."
"1966","Doctoral II","Aerospace Engineering","Male","22","."
"1966","Doctoral II","Chemical Engineering","Male","368","."
"1966","Doctoral II","Civil Engineering","Female","3","."
"1966","Doctoral II","Civil Engineering","Male","601","."
"1966","Doctoral II","Electrical Engineering","Female","2","."
"1966","Doctoral II","Electrical Engineering","Male","932","."
"1966","Doctoral II","Mechanical Engineering","Female","2","."
"1966","Doctoral II","Mechanical Engineering","Male","877","."
"1966","Doctoral II","Materials Engineering","Female","1","."
"1966","Doctoral II","Materials Engineering","Male","83","."
"1966","Doctoral II","Industrial Engineering","Female","2","."
"1966","Doctoral II","Industrial Engineering","Male","121","."
"1966","Doctoral II","Other Engineering","Female","6","."
"1966","Doctoral II","Other Engineering","Male","562","."
"1966","Doctoral II","Astronomy","Male","2","."
"1966","Doctoral II","Chemistry","Female","83","."
"1966","Doctoral II","Chemistry","Male","442","."
"1966","Doctoral II","Physics","Female","6","."
"1966","Doctoral II","Physics","Male","271","."
"1966","Doctoral II","Other Physical Sciences","Female","8","."
"1966","Doctoral II","Other Physical Sciences","Male","70","."
"1966","Doctoral II","Earth Sciences","Female","8","."
"1966","Doctoral II","Earth Sciences","Male","115","."
"1966","Doctoral II","Mathematics and Statistics","Female","330","."
"1966","Doctoral II","Mathematics and Statistics","Male","783","."
"1966","Doctoral II","Agricultural Sciences","Female","7","."
"1966","Doctoral II","Agricultural Sciences","Male","497","."
"1966","Doctoral II","Biological Sciences","Female","350","."
"1966","Doctoral II","Biological Sciences","Male","910","."
"1966","Doctoral II","Medical Sciences","Female","61","."
"1966","Doctoral II","Medical Sciences","Male","213","."
"1966","Doctoral II","Other Life Sciences","Female","885","."
"1966","Doctoral II","Other Life Sciences","Male","233","."
"1966","Doctoral II","Psychology","Female","418","."
"1966","Doctoral II","Psychology","Male","604","."
"1966","Doctoral II","Economics","Female","40","."
"1966","Doctoral II","Economics","Male","589","."
"1966","Doctoral II","Political Science and Public Administration","Female","137","."
"1966","Doctoral II","Political Science and Public Administration","Male","696","."
"1966","Doctoral II","Sociology","Female","505","."
"1966","Doctoral II","Sociology","Male","361","."
"1966","Doctoral II","Anthropology","Female","13","."
"1966","Doctoral II","Anthropology","Male","35","."
"1966","Doctoral II","Linguistics","Female","5","."
"1966","Doctoral II","Linguistics","Male","6","."
"1966","Doctoral II","Area and Ethnic Studies","Female","2","."
"1966","Doctoral II","Area and Ethnic Studies","Male","5","."
"1966","Doctoral II","Other Social Sciences","Female","485","."
"1966","Doctoral II","Other Social Sciences","Male","759","."
"1966","Doctoral II","Engineering Technologies","Male","83","."
"1966","Doctoral II","Health Technologies","Female","25","."
"1966","Doctoral II","Interdisciplinary or Other Sciences","Female","82","."
"1966","Doctoral II","Interdisciplinary or Other Sciences","Male","157","."
"1966","Doctoral II","History","Female","460","."
"1966","Doctoral II","History","Male","1,034","."
"1966","Doctoral II","English and Literature","Female","1,179","."
"1966","Doctoral II","English and Literature","Male","694","."
"1966","Doctoral II","Foreign Languages","Female","603","."
"1966","Doctoral II","Foreign Languages","Male","353","."
"1966","Doctoral II","Other Humanities","Female","56","."
"1966","Doctoral II","Other Humanities","Male","262","."
"1966","Doctoral II","Religion and Theology","Male","14","."
"1966","Doctoral II","Arts and Music","Female","442","."
"1966","Doctoral II","Arts and Music","Male","449","."
"1966","Doctoral II","Architecture and Environmental Design","Female","2","."
"1966","Doctoral II","Architecture and Environmental Design","Male","90","."
"1966","Doctoral II","Other Science/Technical Education","Female","6","."
"1966","Doctoral II","Other Science/Technical Education","Male","235","."
"1966","Doctoral II","Non-Science Education","Female","4,138","."
"1966","Doctoral II","Non-Science Education","Male","1,486","."
"1966","Doctoral II","Business and Management","Female","478","."
"1966","Doctoral II","Business and Management","Male","4,520","."
"1966","Doctoral II","Communication and Librarianship","Female","61","."
"1966","Doctoral II","Communication and Librarianship","Male","125","."
"1966","Doctoral II","Law","Male","9","."
"1966","Doctoral II","Social Service Professions","Female","82","."
"1966","Doctoral II","Social Service Professions","Male","24","."
"1966","Doctoral II","Vocational Studies and Home Economics","Female","348","."
"1966","Doctoral II","Vocational Studies and Home Economics","Male","24","."
"1966","Doctoral II","Other Non-sciences or Unknown Disciplines","Female","185","."
"1966","Doctoral II","Other Non-sciences or Unknown Disciplines","Male","268","."
"1966","Master's/Comprehensive I","Aerospace Engineering","Male","85","."
"1966","Master's/Comprehensive I","Chemical Engineering","Female","1","."
"1966","Master's/Comprehensive I","Chemical Engineering","Male","155","."
"1966","Master's/Comprehensive I","Civil Engineering","Female","2","."
"1966","Master's/Comprehensive I","Civil Engineering","Male","704","."
"1966","Master's/Comprehensive I","Electrical Engineering","Female","5","."
"1966","Master's/Comprehensive I","Electrical Engineering","Male","1,494","."
"1966","Master's/Comprehensive I","Mechanical Engineering","Female","3","."
"1966","Master's/Comprehensive I","Mechanical Engineering","Male","1,048","."
"1966","Master's/Comprehensive I","Materials Engineering","Male","47","."
"1966","Master's/Comprehensive I","Industrial Engineering","Female","1","."
"1966","Master's/Comprehensive I","Industrial Engineering","Male","267","."
"1966","Master's/Comprehensive I","Other Engineering","Female","3","."
"1966","Master's/Comprehensive I","Other Engineering","Male","483","."
"1966","Master's/Comprehensive I","Astronomy","Male","1","."
"1966","Master's/Comprehensive I","Chemistry","Female","417","."
"1966","Master's/Comprehensive I","Chemistry","Male","2,170","."
"1966","Master's/Comprehensive I","Physics","Female","46","."
"1966","Master's/Comprehensive I","Physics","Male","1,112","."
"1966","Master's/Comprehensive I","Other Physical Sciences","Female","37","."
"1966","Master's/Comprehensive I","Other Physical Sciences","Male","311","."
"1966","Master's/Comprehensive I","Atmospheric Sciences","Male","11","."
"1966","Master's/Comprehensive I","Earth Sciences","Female","37","."
"1966","Master's/Comprehensive I","Earth Sciences","Male","277","."
"1966","Master's/Comprehensive I","Oceanography","Male","1","."
"1966","Master's/Comprehensive I","Mathematics and Statistics","Female","2,156","."
"1966","Master's/Comprehensive I","Mathematics and Statistics","Male","4,435","."
"1966","Master's/Comprehensive I","Computer Science","Female","2","."
"1966","Master's/Comprehensive I","Computer Science","Male","19","."
"1966","Master's/Comprehensive I","Agricultural Sciences","Female","13","."
"1966","Master's/Comprehensive I","Agricultural Sciences","Male","1,068","."
"1966","Master's/Comprehensive I","Biological Sciences","Female","1,919","."
"1966","Master's/Comprehensive I","Biological Sciences","Male","4,522","."
"1966","Master's/Comprehensive I","Medical Sciences","Female","51","."
"1966","Master's/Comprehensive I","Medical Sciences","Male","469","."
"1966","Master's/Comprehensive I","Other Life Sciences","Female","2,254","."
"1966","Master's/Comprehensive I","Other Life Sciences","Male","488","."
"1966","Master's/Comprehensive I","Psychology","Female","1,737","."
"1966","Master's/Comprehensive I","Psychology","Male","2,648","."
"1966","Master's/Comprehensive I","Economics","Female","195","."
"1966","Master's/Comprehensive I","Economics","Male","2,385","."
"1966","Master's/Comprehensive I","Political Science and Public Administration","Female","557","."
"1966","Master's/Comprehensive I","Political Science and Public Administration","Male","2,876","."
"1966","Master's/Comprehensive I","Sociology","Female","2,458","."
"1966","Master's/Comprehensive I","Sociology","Male","1,817","."
"1966","Master's/Comprehensive I","Anthropology","Female","151","."
"1966","Master's/Comprehensive I","Anthropology","Male","113","."
"1966","Master's/Comprehensive I","Linguistics","Female","2","."
"1966","Master's/Comprehensive I","Linguistics","Male","1","."
"1966","Master's/Comprehensive I","Area and Ethnic Studies","Female","74","."
"1966","Master's/Comprehensive I","Area and Ethnic Studies","Male","52","."
"1966","Master's/Comprehensive I","Other Social Sciences","Female","2,503","."
"1966","Master's/Comprehensive I","Other Social Sciences","Male","4,452","."
"1966","Master's/Comprehensive I","Engineering Technologies","Female","2","."
"1966","Master's/Comprehensive I","Engineering Technologies","Male","906","."
"1966","Master's/Comprehensive I","Health Technologies","Female","17","."
"1966","Master's/Comprehensive I","Health Technologies","Male","2","."
"1966","Master's/Comprehensive I","Interdisciplinary or Other Sciences","Female","309","."
"1966","Master's/Comprehensive I","Interdisciplinary or Other Sciences","Male","1,954","."
"1966","Master's/Comprehensive I","History","Female","2,625","."
"1966","Master's/Comprehensive I","History","Male","5,376","."
"1966","Master's/Comprehensive I","English and Literature","Female","7,575","."
"1966","Master's/Comprehensive I","English and Literature","Male","3,812","."
"1966","Master's/Comprehensive I","Foreign Languages","Female","2,485","."
"1966","Master's/Comprehensive I","Foreign Languages","Male","1,080","."
"1966","Master's/Comprehensive I","Other Humanities","Female","231","."
"1966","Master's/Comprehensive I","Other Humanities","Male","943","."
"1966","Master's/Comprehensive I","Religion and Theology","Female","7","."
"1966","Master's/Comprehensive I","Religion and Theology","Male","42","."
"1966","Master's/Comprehensive I","Arts and Music","Female","2,372","."
"1966","Master's/Comprehensive I","Arts and Music","Male","1,882","."
"1966","Master's/Comprehensive I","Architecture and Environmental Design","Female","3","."
"1966","Master's/Comprehensive I","Architecture and Environmental Design","Male","111","."
"1966","Master's/Comprehensive I","Other Science/Technical Education","Female","234","."
"1966","Master's/Comprehensive I","Other Science/Technical Education","Male","2,468","."
"1966","Master's/Comprehensive I","Non-Science Education","Female","39,282","."
"1966","Master's/Comprehensive I","Non-Science Education","Male","11,590","."
"1966","Master's/Comprehensive I","Business and Management","Female","1,855","."
"1966","Master's/Comprehensive I","Business and Management","Male","17,827","."
"1966","Master's/Comprehensive I","Communication and Librarianship","Female","478","."
"1966","Master's/Comprehensive I","Communication and Librarianship","Male","353","."
"1966","Master's/Comprehensive I","Law","Male","63","."
"1966","Master's/Comprehensive I","Social Service Professions","Female","400","."
"1966","Master's/Comprehensive I","Social Service Professions","Male","165","."
"1966","Master's/Comprehensive I","Vocational Studies and Home Economics","Female","1,281","."
"1966","Master's/Comprehensive I","Vocational Studies and Home Economics","Male","18","."
"1966","Master's/Comprehensive I","Other Non-sciences or Unknown Disciplines","Female","315","."
"1966","Master's/Comprehensive I","Other Non-sciences or Unknown Disciplines","Male","501","."
"1966","Other Specialized","Aerospace Engineering","Male","90","."
"1966","Other Specialized","Civil Engineering","Male","41","."
"1966","Other Specialized","Electrical Engineering","Male","92","."
"1966","Other Specialized","Mechanical Engineering","Male","8","."
"1966","Other Specialized","Industrial Engineering","Male","69","."
"1966","Other Specialized","Other Engineering","Male","389","."
"1966","Other Specialized","Chemistry","Male","3","."
"1966","Other Specialized","Physics","Male","13","."
"1966","Other Specialized","Other Physical Sciences","Male","98","."
"1966","Other Specialized","Atmospheric Sciences","Male","17","."
"1966","Other Specialized","Oceanography","Male","7","."
"1966","Other Specialized","Mathematics and Statistics","Male","36","."
"1966","Other Specialized","Computer Science","Male","2","."
"1966","Other Specialized","Political Science and Public Administration","Female","2","."
"1966","Other Specialized","Political Science and Public Administration","Male","149","."
"1966","Other Specialized","Other Social Sciences","Male","61","."
"1966","Other Specialized","Interdisciplinary or Other Sciences","Male","1,825","."
"1966","Other Specialized","History","Female","1","."
"1966","Other Specialized","History","Male","9","."
"1966","Other Specialized","Foreign Languages","Female","31","."
"1966","Other Specialized","Foreign Languages","Male","15","."
"1966","Other Specialized","Non-Science Education","Female","5","."
"1966","Other Specialized","Business and Management","Male","1","."
"1966","Other Specialized","Other Non-sciences or Unknown Disciplines","Male","21","."
"1966","Master's/Comprehensive II","Chemical Engineering","Male","10","."
"1966","Master's/Comprehensive II","Civil Engineering","Male","13","."
"1966","Master's/Comprehensive II","Electrical Engineering","Male","40","."
"1966","Master's/Comprehensive II","Mechanical Engineering","Female","1","."
"1966","Master's/Comprehensive II","Mechanical Engineering","Male","38","."
"1966","Master's/Comprehensive II","Materials Engineering","Female","1","."
"1966","Master's/Comprehensive II","Materials Engineering","Male","9","."
"1966","Master's/Comprehensive II","Other Engineering","Male","28","."
"1966","Master's/Comprehensive II","Chemistry","Female","94","."
"1966","Master's/Comprehensive II","Chemistry","Male","164","."
"1966","Master's/Comprehensive II","Physics","Female","2","."
"1966","Master's/Comprehensive II","Physics","Male","64","."
"1966","Master's/Comprehensive II","Other Physical Sciences","Male","8","."
"1966","Master's/Comprehensive II","Earth Sciences","Male","4","."
"1966","Master's/Comprehensive II","Mathematics and Statistics","Female","194","."
"1966","Master's/Comprehensive II","Mathematics and Statistics","Male","232","."
"1966","Master's/Comprehensive II","Computer Science","Male","4","."
"1966","Master's/Comprehensive II","Agricultural Sciences","Male","1","."
"1966","Master's/Comprehensive II","Biological Sciences","Female","293","."
"1966","Master's/Comprehensive II","Biological Sciences","Male","340","."
"1966","Master's/Comprehensive II","Medical Sciences","Female","9","."
"1966","Master's/Comprehensive II","Medical Sciences","Male","122","."
"1966","Master's/Comprehensive II","Other Life Sciences","Female","342","."
"1966","Master's/Comprehensive II","Other Life Sciences","Male","66","."
"1966","Master's/Comprehensive II","Psychology","Female","156","."
"1966","Master's/Comprehensive II","Psychology","Male","155","."
"1966","Master's/Comprehensive II","Economics","Female","28","."
"1966","Master's/Comprehensive II","Economics","Male","172","."
"1966","Master's/Comprehensive II","Political Science and Public Administration","Female","53","."
"1966","Master's/Comprehensive II","Political Science and Public Administration","Male","132","."
"1966","Master's/Comprehensive II","Sociology","Female","364","."
"1966","Master's/Comprehensive II","Sociology","Male","230","."
"1966","Master's/Comprehensive II","Area and Ethnic Studies","Female","11","."
"1966","Master's/Comprehensive II","Other Social Sciences","Female","132","."
"1966","Master's/Comprehensive II","Other Social Sciences","Male","80","."
"1966","Master's/Comprehensive II","Engineering Technologies","Male","32","."
"1966","Master's/Comprehensive II","Interdisciplinary or Other Sciences","Female","27","."
"1966","Master's/Comprehensive II","Interdisciplinary or Other Sciences","Male","31","."
"1966","Master's/Comprehensive II","History","Female","332","."
"1966","Master's/Comprehensive II","History","Male","547","."
"1966","Master's/Comprehensive II","English and Literature","Female","803","."
"1966","Master's/Comprehensive II","English and Literature","Male","298","."
"1966","Master's/Comprehensive II","Foreign Languages","Female","236","."
"1966","Master's/Comprehensive II","Foreign Languages","Male","150","."
"1966","Master's/Comprehensive II","Other Humanities","Female","24","."
"1966","Master's/Comprehensive II","Other Humanities","Male","151","."
"1966","Master's/Comprehensive II","Religion and Theology","Male","25","."
"1966","Master's/Comprehensive II","Arts and Music","Female","283","."
"1966","Master's/Comprehensive II","Arts and Music","Male","108","."
